iso1,iso2,group,community,id,season
-18.15,3.20,1,1,AN,august
-19.48,4.51,1,1,AN,august
-18.18,4.11,1,1,AN,august
-18.99,3.53,1,1,AN,august
-18.82,3.36,1,1,AN,august
-18.34,4.24,1,1,AN,august
-19.09,3.17,1,1,AN,august
-18.33,4.18,1,1,AN,august
-18.93,3.89,1,1,AN,august
-19.21,4.21,1,1,AN,august
-19.77,3.12,1,1,AN,august
-18.58,3.56,1,1,AN,august
-19.10,4.11,1,1,AN,august
-19.99,3.54,1,1,AN,august
-19.05,3.21,1,1,AN,august
-19.30,3.67,1,1,AN,august
-19.05,3.59,1,1,AN,august
-15.83,2.08,2,1,GA,august
-16.51,1.34,2,1,GA,august
-16.53,2.09,2,1,GA,august
-16.58,2.01,2,1,GA,august
-16.18,2.06,2,1,GA,august
-16.31,2.08,2,1,GA,august
-16.06,1.47,2,1,GA,august
-15.09,2.60,2,1,GA,august
-15.56,2.88,2,1,GA,august
-15.64,1.25,2,1,GA,august
-17.51,2.31,2,1,GA,august
-16.95,1.84,2,1,GA,august
-17.00,2.09,2,1,GA,august
-15.34,1.98,2,1,GA,august
-16.82,1.74,2,1,GA,august
-16.58,2.45,2,1,GA,august
-15.91,2.01,2,1,GA,august
-16.91,1.91,2,1,GA,august
-18.54,-0.33,3,1,GF,august
-18.41,0.77,3,1,GF,august
-18.82,2.38,3,1,GF,august
-18.06,2.13,3,1,GF,august
-18.05,1.35,3,1,GF,august
-19.42,-0.89,3,1,GF,august
-17.72,0.98,3,1,GF,august
-18.05,3.64,3,1,GF,august
-19.56,1.20,3,1,GF,august
-18.97,2.12,3,1,GF,august
-17.40,0.35,3,1,GF,august
-18.22,1.25,3,1,GF,august
-19.36,2.41,3,1,GF,august
-19.46,0.46,3,1,GF,august
-17.71,2.32,3,1,GF,august
-19.26,0.66,3,1,GF,august
-18.98,0.95,3,1,GF,august
-18.73,1.17,3,1,GF,august
-17.74,0.63,3,1,GF,august
-19.38,1.40,4,1,MH,august
-20.12,0.76,4,1,MH,august
-19.82,1.00,4,1,MH,august
-20.75,0.96,4,1,MH,august
-18.98,1.24,4,1,MH,august
-20.68,0.81,4,1,MH,august
-19.68,0.87,4,1,MH,august
-20.12,1.11,4,1,MH,august
-18.82,1.39,4,1,MH,august
-20.85,0.84,4,1,MH,august
-18.92,0.67,4,1,MH,august
-19.64,1.05,4,1,MH,august
-18.94,0.94,4,1,MH,august
-16.73,6.29,5,1,PX,august
-17.14,4.91,5,1,PX,august
-17.38,4.89,5,1,PX,august
-16.46,5.95,5,1,PX,august
-16.80,5.16,5,1,PX,august
-17.56,5.32,5,1,PX,august
-17.30,6.01,5,1,PX,august
-16.79,5.93,5,1,PX,august
-16.65,5.66,5,1,PX,august
-17.21,5.38,5,1,PX,august
-17.70,5.50,5,1,PX,august
-16.89,5.42,5,1,PX,august
-17.11,5.67,5,1,PX,august
-16.73,5.49,5,1,PX,august
-17.02,5.71,5,1,PX,august
-18.54,5.51,1,2,AN,November
-17.89,4.87,1,2,AN,November
-18.05,4.12,1,2,AN,November
-18.42,4.09,1,2,AN,November
-17.94,5.82,1,2,AN,November
-17.57,4.34,1,2,AN,November
-17.68,4.16,1,2,AN,November
-17.42,3.91,1,2,AN,November
-17.77,4.45,1,2,AN,November
-17.73,3.35,1,2,AN,November
-18.06,4.13,1,2,AN,November
-18.26,3.51,1,2,AN,November
-17.76,4.39,1,2,AN,November
-18.13,3.80,1,2,AN,November
-17.68,3.69,1,2,AN,November
-17.34,3.69,1,2,AN,November
-18.57,3.65,1,2,AN,November
-18.40,4.21,1,2,AN,November
-17.25,4.03,1,2,AN,November
-13.68,2.13,2,2,GA,November
-14.11,1.92,2,2,GA,November
-14.23,1.92,2,2,GA,November
-14.13,1.47,2,2,GA,November
-13.36,1.90,2,2,GA,November
-14.48,0.46,2,2,GA,November
-14.65,0.26,2,2,GA,November
-13.64,1.38,2,2,GA,November
-14.26,2.14,2,2,GA,November
-14.37,1.65,2,2,GA,November
-14.24,1.89,2,2,GA,November
-13.90,2.34,2,2,GA,November
-13.54,0.63,2,2,GA,November
-13.85,1.95,2,2,GA,November
-14.29,2.40,2,2,GA,November
-14.09,2.09,2,2,GA,November
-13.00,2.06,2,2,GA,November
-14.14,2.78,2,2,GA,November
-13.97,1.03,2,2,GA,November
-13.13,1.91,2,2,GA,November
-13.56,1.59,2,2,GA,November
-13.93,2.52,2,2,GA,November
-13.19,2.02,2,2,GA,November
-15.61,2.52,3,2,GF,November
-15.95,2.10,3,2,GF,November
-17.19,1.09,3,2,GF,November
-15.79,1.45,3,2,GF,November
-16.39,2.66,3,2,GF,November
-15.51,1.45,3,2,GF,November
-14.96,2.01,3,2,GF,November
-16.53,1.85,3,2,GF,November
-16.51,0.00,3,2,GF,November
-16.34,2.03,3,2,GF,November
-16.81,1.87,3,2,GF,November
-15.90,1.86,3,2,GF,November
-14.95,2.85,3,2,GF,November
-17.96,3.99,3,2,GF,November
-17.94,3.55,3,2,GF,November
-16.21,2.94,3,2,GF,November
-15.23,3.57,3,2,GF,November
-17.50,2.11,3,2,GF,November
-15.78,2.39,3,2,GF,November
-15.97,2.53,3,2,GF,November
-15.79,2.88,3,2,GF,November
-15.82,2.66,3,2,GF,November
-15.60,3.05,3,2,GF,November
-16.53,0.81,4,2,MH,November
-15.94,1.42,4,2,MH,November
-16.29,2.37,4,2,MH,November
-16.99,1.78,4,2,MH,November
-15.95,0.31,4,2,MH,November
-17.13,0.03,4,2,MH,November
-15.43,1.88,4,2,MH,November
-15.54,2.43,4,2,MH,November
-16.49,1.81,4,2,MH,November
-16.00,1.40,4,2,MH,November
-15.45,2.16,4,2,MH,November
-17.03,1.74,4,2,MH,November
-16.89,7.31,5,2,PX,November
-16.54,7.14,5,2,PX,November
-15.46,6.94,5,2,PX,November
-17.21,6.02,5,2,PX,November
-16.47,5.84,5,2,PX,November
-14.41,5.82,5,2,PX,November
-14.83,5.92,5,2,PX,November
-14.70,5.62,5,2,PX,November
-14.66,6.34,5,2,PX,November
-14.55,5.76,5,2,PX,November
-15.15,6.02,5,2,PX,November
-14.64,6.10,5,2,PX,November
-15.55,6.74,5,2,PX,November
-14.83,6.47,5,2,PX,November
-15.56,6.40,5,2,PX,November
-18.65,5.51,1,3,AN,March
-19.09,4.05,1,3,AN,March
-19.16,5.48,1,3,AN,March
-18.81,5.04,1,3,AN,March
-18.48,4.97,1,3,AN,March
-19.06,5.68,1,3,AN,March
-17.56,5.26,1,3,AN,March
-16.94,5.78,1,3,AN,March
-17.89,5.42,1,3,AN,March
-18.02,6.01,1,3,AN,March
-17.34,5.76,1,3,AN,March
-17.47,5.54,1,3,AN,March
-17.16,2.52,2,3,GA,March
-17.31,1.55,2,3,GA,March
-16.12,2.43,2,3,GA,March
-17.57,1.57,2,3,GA,March
-15.98,0.26,2,3,GA,March
-17.06,1.42,2,3,GA,March
-15.41,1.89,2,3,GA,March
-17.19,2.27,2,3,GA,March
-15.88,2.44,2,3,GA,March
-16.12,2.42,2,3,GA,March
-16.56,2.51,2,3,GA,March
-16.11,2.59,2,3,GA,March
-16.19,2.43,2,3,GA,March
-15.57,1.57,2,3,GA,March
-15.28,2.76,2,3,GA,March
-16.10,2.45,2,3,GA,March
-16.41,1.89,2,3,GA,March
-16.49,2.61,2,3,GA,March
-15.98,2.28,2,3,GA,March
-15.22,2.64,2,3,GA,March
-18.75,2.14,3,3,GF,March
-20.60,0.73,3,3,GF,March
-20.86,-0.46,3,3,GF,March
-20.74,-0.39,3,3,GF,March
-19.11,0.82,3,3,GF,March
-18.70,2.37,3,3,GF,March
-19.92,2.18,3,3,GF,March
-19.33,1.79,3,3,GF,March
-18.87,1.25,3,3,GF,March
-19.76,1.31,3,3,GF,March
-19.88,2.06,3,3,GF,March
-18.26,2.28,3,3,GF,March
-18.43,2.87,3,3,GF,March
-18.37,2.93,3,3,GF,March
-19.03,3.21,3,3,GF,March
-17.30,3.35,3,3,GF,March
-16.30,3.83,3,3,GF,March
-18.53,3.59,3,3,GF,March
-17.97,3.03,3,3,GF,March
-17.87,2.72,3,3,GF,March
-17.59,3.27,3,3,GF,March
-20.21,1.67,4,3,MH,March
-20.63,0.76,4,3,MH,March
-20.35,-0.18,4,3,MH,March
-20.85,0.64,4,3,MH,March
-20.87,0.47,4,3,MH,March
-20.93,0.00,4,3,MH,March
-20.49,0.91,4,3,MH,March
-21.22,1.00,4,3,MH,March
-21.31,1.11,4,3,MH,March
-21.05,0.33,4,3,MH,March
-19.04,3.63,4,3,MH,March
-20.06,2.85,4,3,MH,March
-18.90,3.45,4,3,MH,March
-19.58,3.07,4,3,MH,March
-19.66,2.68,4,3,MH,March
-19.49,3.02,4,3,MH,March
-19.31,3.22,4,3,MH,March
-19.56,3.35,4,3,MH,March
-17.10,6.92,5,3,PX,March
-16.79,6.12,5,3,PX,March
-16.63,6.25,5,3,PX,March
-17.54,6.99,5,3,PX,March
-16.86,6.41,5,3,PX,March
-17.04,6.78,5,3,PX,March
-16.79,6.16,5,3,PX,March
-17.34,6.53,5,3,PX,March
-17.02,6.12,5,3,PX,March
-16.84,6.21,5,3,PX,March
-17.29,6.09,5,3,PX,March
-18.45,4.25,1,4,AN,May
-18.27,3.98,1,4,AN,May
-19.01,4.06,1,4,AN,May
-18.26,4.54,1,4,AN,May
-18.73,4.95,1,4,AN,May
-17.92,5.16,1,4,AN,May
-18.50,4.63,1,4,AN,May
-17.89,4.89,1,4,AN,May
-18.67,5.01,1,4,AN,May
-14.59,3.17,2,4,GA,May
-15.14,3.32,2,4,GA,May
-14.36,3.51,2,4,GA,May
-15.89,3.12,2,4,GA,May
-14.58,3.02,2,4,GA,May
-15.12,3.19,2,4,GA,May
-14.47,3.08,2,4,GA,May
-14.51,2.09,2,4,GA,May
-15.36,2.29,2,4,GA,May
-15.04,3.10,2,4,GA,May
-15.11,2.74,2,4,GA,May
-15.25,3.01,2,4,GA,May
-16.46,3.36,2,4,GA,May
-15.16,2.58,2,4,GA,May
-15.14,2.18,2,4,GA,May
-15.02,2.81,2,4,GA,May
-16.06,3.81,2,4,GA,May
-15.26,2.53,2,4,GA,May
-15.85,3.19,2,4,GA,May
-15.08,2.92,2,4,GA,May
-18.93,1.57,3,4,GF,May
-18.39,2.83,3,4,GF,May
-19.00,0.20,3,4,GF,May
-19.24,1.79,3,4,GF,May
-18.88,1.54,3,4,GF,May
-19.22,0.87,3,4,GF,May
-18.61,1.56,3,4,GF,May
-20.34,0.45,3,4,GF,May
-18.80,1.74,3,4,GF,May
-18.72,1.56,3,4,GF,May
-19.23,2.26,3,4,GF,May
-18.45,1.97,3,4,GF,May
-19.01,1.09,3,4,GF,May
-20.13,1.91,3,4,GF,May
-18.77,1.64,3,4,GF,May
-17.65,1.42,3,4,GF,May
-19.94,2.21,3,4,GF,May
-19.53,1.82,3,4,GF,May
-19.47,2.61,3,4,GF,May
-19.54,1.28,4,4,MH,May
-19.01,1.67,4,4,MH,May
-19.78,1.01,4,4,MH,May
-18.89,1.35,4,4,MH,May
-19.41,0.63,4,4,MH,May
-19.43,1.29,4,4,MH,May
-18.79,0.21,4,4,MH,May
-18.74,2.05,4,4,MH,May
-18.87,2.38,4,4,MH,May
-18.39,2.97,4,4,MH,May
-18.47,2.14,4,4,MH,May
-17.91,2.41,4,4,MH,May
-19.76,6.43,5,4,PX,May
-19.21,6.62,5,4,PX,May
-18.78,6.34,5,4,PX,May
-19.01,6.47,5,4,PX,May
-18.81,6.51,5,4,PX,May
